Runs,Player,Team,Opponent,Venue,Match_Date,Match_Year
237,Martin Guptill,New Zealand,West Indies,"Wellington Regional Stadium, Wellington, New Zealand",21-Mar-15,2015
215,Chris Gayle,West Indies,Zimbabwe,"Manuka Oval, Canberra, Australia",24-Feb-15,2015
201,Glenn Maxwell,Australia,Afghanistan,"Wankhede Stadium, Mumbai, India",07-Nov-23,2023
188,Gary Kirsten,South Africa,United Arab Emirates,"Rawalpindi Cricket Stadium, Rawalpindi, Pakistan",16-Feb-96,1996
183,Sourav Ganguly,India,Sri Lanka,"County Ground, Taunton, England",26-May-99,1999
